subject,electrode
662,EEGPO_02REF
717,LGA10
717,LGA18
717,LGA27
717,LGA32
717,LGA36
717,LGA37
717,LGA38
717,LGA39
717,LGA4
717,LGA44
717,LGA46
717,LGA47
717,LGA9
717,LGB108
717,LGB112
717,LGB113
717,LGB114
717,LGB116
717,LGB117
717,LGB119
717,LGB120
717,LGB121
717,LGB122
717,LGB124
717,LGB126
717,LGB66
717,LGB67
717,LGB71
717,LGB74
717,LGB75
717,LGB78
717,LGB79
717,LGB80
717,LGB82
717,LGB85
717,LGB86
717,LGB87
717,LGB88
717,LGB95
717,LOF4
723,LDII7
723,LDII8
723,LDII9
723,LDSI10
723,LDSI9
723,LIF3
723,LPT1
723,LPT2
723,LSF12
723,LST1
723,LST10
723,LST2
723,LST7
723,LST8
741,GA14
741,GA23
741,GA41
741,GA44
741,GA45
741,GA47
741,GA48
741,GA64
742,G101
742,G102
742,G103
742,G104
742,G108
742,G110
742,G111
742,G113
742,G118
742,G119
742,G120
742,G121
742,G124
742,G125
742,G128
742,G15
742,G22
742,G23
742,G24
742,G30
742,G31
742,G34
742,G35
742,G37
742,G42
742,G43
742,G44
742,G45
742,G51
742,G53
742,G54
742,G55
742,G56
742,G61
742,G63
742,G64
742,G7
742,G75
742,G93
742,dPI5
743,G10
743,G11
743,G19
743,G3
743,G44
743,G45
743,G46
743,G47
743,G52
743,G53
743,G54
743,G64
763,AT1
763,DAI3
763,DAI4
763,DPI3
763,DPMT8
763,G15
763,G20
763,G21
763,G23
763,G24
763,G25
763,G31
763,G32
763,G33
763,G34
798,AF6
798,AIT3
798,DPI2
798,DPI3
798,G10
798,G12
798,G15
798,G16
798,G17
798,G18
798,G19
798,G20
798,G26
798,G27
798,G5
798,G56
798,G77
798,G79
798,G83
798,G84
798,G86
798,G87
798,G88
798,G92
798,G93
798,G94
798,G95
798,G96
798,O4
798,O6
